-5,3.7266532e-06,3.7266532e-06,6.3161321e-06
-4.9444444,4.9123141e-06,4.9123141e-06,8.284692e-06
-4.8888889,6.4552469e-06,6.4552469e-06,1.0833113e-05
-4.8333333,8.456666e-06,8.456666e-06,1.4121532e-05
-4.7777778,1.1044475e-05,1.1044475e-05,1.8351096e-05
-4.7222222,1.4379725e-05,1.4379725e-05,2.3773533e-05
-4.6666667,1.8664469e-05,1.8664469e-05,3.0702728e-05
-4.6111111,2.4151288e-05,2.4151288e-05,3.9528618e-05
-4.5555556,3.115477e-05,3.115477e-05,5.0733833e-05
-4.5,4.0065297e-05,4.0065297e-05,6.4913502e-05
-4.4444444,5.1365531e-05,5.1365531e-05,8.2798726e-05
-4.3888889,6.5650008e-05,6.5650008e-05,0.00010528426
-4.3333333,8.3648347e-05,8.3648347e-05,0.00013346101
-4.2777778,0.00010625259,0.00010625259,0.00016865391
-4.2222222,0.00013454925,0.00013454925,0.00021246599
-4.1666667,0.00016985668,0.00016985668,0.0002668292
-4.1111111,0.00021376842,0.00021376842,0.00033406284
-4.0555556,0.00026820326,0.00026820326,0.00041694022
-4,0.00033546263,0.00033546263,0.00051876438
-3.9444444,0.00041829611,0.00041829611,0.0006434535
-3.8888889,0.00051997574,0.00051997574,0.00079563667
-3.8333333,0.00064437982,0.00064437982,0.00098076045
-3.7777778,0.00079608669,0.00079608669,0.0012052068
-3.7222222,0.00098047919,0.00098047919,0.0014764222
-3.6666667,0.00120386,0.00120386,0.0018030587
-3.6111111,0.0014735781,0.0014735781,0.0021951259
-3.5555556,0.0017981667,0.0017981667,0.002664153
-3.5,0.0021874911,0.0021874911,0.0032233614
-3.4444444,0.0026529083,0.0026529083,0.0038878441
-3.3888889,0.0032074343,0.0032074343,0.0046747526
-3.3333333,0.0038659201,0.0038659201,0.0056034859
-3.2777778,0.0046452338,0.0046452338,0.006695881
-3.2222222,0.005564445,0.005564445,0.0079763992
-3.1666667,0.0066450113,0.0066450113,0.0094723047
-3.1111111,0.0079109597,0.0079109597,0.011213831
-3.0555556,0.0093890621,0.0093890621,0.013234325
-3,0.011108997,0.011108997,0.015570371
-2.9444444,0.013103492,0.013103492,0.018261878
-2.8888889,0.015408446,0.015408446,0.021352126
-2.8333333,0.018063013,0.018063013,0.024887767
-2.7777778,0.021109656,0.021109656,0.028918768
-2.7222222,0.024594144,0.024594144,0.033498287
-2.6666667,0.028565501,0.028565501,0.038682476
-2.6111111,0.033075891,0.033075891,0.044530206
-2.5555556,0.038180434,0.038180434,0.051102698
-2.5,0.043936934,0.043936934,0.05846306
-2.4444444,0.050405533,0.050405533,0.066675725
-2.3888889,0.057648269,0.057648269,0.075805786
-2.3333333,0.065728529,0.065728529,0.085918218
-2.2777778,0.074710413,0.074710413,0.097077006
-2.2222222,0.084657989,0.084657989,0.10934416
-2.1666667,0.095634445,0.095634445,0.12277864
-2.1111111,0.10770115,0.10770115,0.13743519
-2.0555556,0.12091659,0.12091659,0.15336311
-2,0.13533528,0.13533528,0.17060491
-1.9444444,0.15100654,0.15100654,0.18919505
-1.8888889,0.16797324,0.16797324,0.20915848
-1.8333333,0.18627046,0.18627046,0.23050937
-1.7777778,0.20592425,0.20592425,0.25324971
-1.7222222,0.22695019,0.22695019,0.27736809
-1.6666667,0.24935221,0.24935221,0.30283849
-1.6111111,0.27312123,0.27312123,0.32961926
-1.5555556,0.2982341,0.2982341,0.35765221
-1.5,0.32465247,0.32465247,0.38686188
-1.4444444,0.35232195,0.35232195,0.4171551
-1.3888889,0.38117139,0.38117139,0.44842069
-1.3333333,0.41111229,0.41111229,0.48052951
-1.2777778,0.44203862,0.44203862,0.51333479
-1.2222222,0.47382673,0.47382673,0.54667276
-1.1666667,0.50633562,0.50633562,0.58036356
-1.1111111,0.53940751,0.53940751,0.61421254
-1.0555556,0.57286868,0.57286868,0.64801182
-1,0.60653066,0.60653066,0.6815422
-0.94444444,0.64019168,0.64019168,0.71457534
-0.88888889,0.67363846,0.67363846,0.74687616
-0.83333333,0.70664828,0.70664828,0.77820559
-0.77777778,0.7389913,0.7389913,0.80832335
-0.72222222,0.77043309,0.77043309,0.836991
-0.66666667,0.8007374,0.8007374,0.86397504
-0.61111111,0.82966905,0.82966905,0.88905005
-0.55555556,0.85699689,0.85699689,0.91200175
-0.5,0.8824969,0.8824969,0.93263012
-0.44444444,0.90595519,0.90595519,0.95075223
-0.38888889,0.92717098,0.92717098,0.96620497
-0.33333333,0.94595947,0.94595947,0.97884746
-0.27777778,0.96215449,0.96215449,0.98856324
-0.22222222,0.97561098,0.97561098,0.99526197
-0.16666667,0.98620712,0.98620712,0.99888094
-0.11111111,0.99384617,0.99384617,0.99938593
-0.055555556,0.99845798,0.99845798,0.99677184
0,1,1,0.99106272
0.055555556,0.99845798,0.99845798,0.98231145
0.11111111,0.99384617,0.99384617,0.97059885
0.16666667,0.98620712,0.98620712,0.95603251
0.22222222,0.97561098,0.97561098,0.93874514
0.27777778,0.96215449,0.96215449,0.91889248
0.33333333,0.94595947,0.94595947,0.89665106
0.38888889,0.92717098,0.92717098,0.87221555
0.44444444,0.90595519,0.90595519,0.84579589
0.5,0.8824969,0.8824969,0.81761437
0.55555556,0.85699689,0.85699689,0.78790246
0.61111111,0.82966905,0.82966905,0.75689772
0.66666667,0.8007374,0.8007374,0.72484062
0.72222222,0.77043309,0.77043309,0.69197155
0.77777778,0.7389913,0.7389913,0.65852782
0.83333333,0.70664828,0.70664828,0.62474094
0.88888889,0.67363846,0.67363846,0.5908341
0.94444444,0.64019168,0.64019168,0.55701983
1,0.60653066,0.60653066,0.52349803
1.0555556,0.57286868,0.57286868,0.49045427
1.1111111,0.53940751,0.53940751,0.45805836
1.1666667,0.50633562,0.50633562,0.42646334
1.2222222,0.47382673,0.47382673,0.3958047
1.2777778,0.44203862,0.44203862,0.36619998
1.3333333,0.41111229,0.41111229,0.33774859
1.3888889,0.38117139,0.38117139,0.31053202
1.4444444,0.35232195,0.35232195,0.28461421
1.5,0.32465247,0.32465247,0.26004223
1.5555556,0.2982341,0.2982341,0.23684707
1.6111111,0.27312123,0.27312123,0.21504468
1.6666667,0.24935221,0.24935221,0.19463713
1.7222222,0.22695019,0.22695019,0.17561382
1.7777778,0.20592425,0.20592425,0.15795283
1.8333333,0.18627046,0.18627046,0.14162228
1.8888889,0.16797324,0.16797324,0.1265817
1.9444444,0.15100654,0.15100654,0.11278338
2,0.13533528,0.13533528,0.10017372
2.0555556,0.12091659,0.12091659,0.088694521
2.1111111,0.10770115,0.10770115,0.078284124
2.1666667,0.095634445,0.095634445,0.068878584
2.2222222,0.084657989,0.084657989,0.060412667
2.2777778,0.074710413,0.074710413,0.052820776
2.3333333,0.065728529,0.065728529,0.046037758
2.3888889,0.057648269,0.057648269,0.039999617
2.4444444,0.050405533,0.050405533,0.034644113
2.5,0.043936934,0.043936934,0.029911255
2.5555556,0.038180434,0.038180434,0.025743705
2.6111111,0.033075891,0.033075891,0.022087082
2.6666667,0.028565501,0.028565501,0.01889018
2.7222222,0.024594144,0.024594144,0.016105121
2.7777778,0.021109657,0.021109657,0.01368742
2.8333333,0.018063014,0.018063014,0.011596009
2.8888889,0.015408446,0.015408446,0.0097931949
2.9444444,0.013103492,0.013103492,0.008244585
3,0.011108997,0.011108997,0.006918968
3.0555556,0.0093890629,0.0093890629,0.0057881735
3.1111111,0.0079109609,0.0079109609,0.0048269082
3.1666667,0.006645013,0.006645013,0.0040125769
3.2222222,0.0055644475,0.0055644475,0.0033250954
3.2777778,0.0046452373,0.0046452374,0.0027466974
3.3333333,0.0038659251,0.0038659253,0.0022617419
3.3888889,0.0032074413,0.0032074416,0.0018565232
3.4444444,0.0026529183,0.0026529186,0.0015190861
3.5,0.0021875053,0.0021875057,0.0012390496
3.5555556,0.0017981866,0.0017981872,0.0010074396
3.6111111,0.0014736061,0.001473607,0.00081653193
3.6666667,0.0012038991,0.0012039004,0.00065970727
3.7222222,0.00098053373,0.00098053557,0.00053131717
3.7777778,0.00079616251,0.0007961651,0.00042656206
3.8333333,0.00064448488,0.00064448851,0.00034138085
3.8888889,0.00052012085,0.00052012592,0.00027235156
3.9444444,0.00041849588,0.00041850294,0.00021660274
4,0.00033573677,0.00033574656,0.00017173495
4.0555556,0.00026857822,0.00026859178,0.0001357516
4.1111111,0.00021427961,0.00021429831,0.00010699841
4.1666667,0.00017055133,0.00017057704,8.4110851e-05
4.2222222,0.00013549012,0.00013552536,6.5968704e-05
