x_over_lstar,density_mean_2pi_rho_lstar2,density_stderr
-5,0,0
-4.95,0,0
-4.9,0,0
-4.85,2.5132741e-05,1.8788443e-05
-4.8,0,0
-4.75,8.3775804e-06,8.5207973e-06
-4.7,0,0
-4.65,3.3510322e-05,3.4083189e-05
-4.6,0,0
-4.55,1.6755161e-05,1.7041595e-05
-4.5,3.3510322e-05,3.4083189e-05
-4.45,0.00010053096,5.5627619e-05
-4.4,4.1887902e-05,2.7633198e-05
-4.35,7.5398224e-05,4.4444675e-05
-4.3,7.5398224e-05,4.9254183e-05
-4.25,0.00010053096,4.3505296e-05
-4.2,0.00012566371,4.376349e-05
-4.15,0.00010053096,4.1743211e-05
-4.1,0.00025132741,6.713013e-05
-4.05,0.00016755161,5.2478036e-05
-4,0.00025970499,7.5037086e-05
-3.95,0.00020943951,6.1383194e-05
-3.9,0.00036861354,9.3928889e-05
-3.85,0.00037699112,7.9192691e-05
-3.8,0.00050265482,0.00012008603
-3.75,0.00091315626,0.00017568924
-3.7,0.00097179933,0.00013128094
-3.65,0.0011058406,0.00013570695
-3.6,0.0015330972,0.00016730987
-3.55,0.0014912093,0.0002246381
-3.5,0.002136283,0.00026620292
-3.45,0.0026305602,0.00030363142
-3.4,0.0026724482,0.00027637275
-3.35,0.0036107372,0.00035277577
-3.3,0.0038117991,0.00034991122
-3.25,0.0043312091,0.00029787511
-3.2,0.0059229493,0.00043222687
-3.15,0.0069450142,0.00049489725
-3.1,0.0072214743,0.00038756307
-3.05,0.0089388783,0.00049960985
-3,0.010153627,0.00055878189
-2.95,0.01326171,0.00061448621
-2.9,0.015573922,0.00067001153
-2.85,0.015071267,0.00066483499
-2.8,0.01772696,0.00056760147
-2.75,0.019888376,0.00076242544
-2.7,0.02496519,0.00069042213
-2.65,0.026674216,0.00097955821
-2.6,0.030301708,0.00090627195
-2.55,0.035043419,0.00072970208
-2.5,0.040882592,0.00083893267
-2.45,0.04691445,0.0013776859
-2.4,0.052644715,0.0012768693
-2.35,0.059187606,0.0012719196
-2.3,0.066760938,0.0012726713
-2.25,0.073220053,0.001735602
-2.2,0.083532854,0.0012360869
-2.15,0.094147249,0.0016410354
-2.1,0.10135197,0.0016117259
-2.05,0.11280412,0.0018455733
-2,0.13087456,0.0020430046
-1.95,0.14033285,0.002042694
-1.9,0.15116506,0.0015307403
-1.85,0.1729719,0.0023930325
-1.8,0.18347739,0.0021636491
-1.75,0.20351656,0.0024118217
-1.7,0.22477048,0.0022073918
-1.65,0.24544635,0.0021127193
-1.6,0.26569496,0.002072067
-1.55,0.28438534,0.003017217
-1.5,0.31141142,0.0025994746
-1.45,0.32973319,0.0029158102
-1.4,0.3548408,0.0035356561
-1.35,0.386751,0.0033279686
-1.3,0.41124704,0.0037528915
-1.25,0.43880091,0.0034050692
-1.2,0.46313778,0.0036329679
-1.15,0.49440291,0.0033644204
-1.1,0.52483866,0.0036140693
-1.05,0.55128668,0.0033333056
-1,0.58959735,0.0046179143
-0.95,0.61627157,0.0030733073
-0.9,0.63399015,0.0038661299
-0.85,0.67193221,0.004445122
-0.8,0.69848077,0.003493801
-0.75,0.73906177,0.0046919028
-0.7,0.75997221,0.0037566907
-0.65,0.78975451,0.0038103536
-0.6,0.81384843,0.0046565509
-0.55,0.83333468,0.0051449589
-0.5,0.86375367,0.0046342272
-0.45,0.88350801,0.003808799
-0.4,0.89923273,0.0050876775
-0.35,0.92741491,0.0056424053
-0.3,0.93740098,0.0053367313
-0.25,0.9578339,0.0036106682
-0.2,0.96722517,0.0047975384
-0.15,0.97917998,0.0047778151
-0.1,0.9874654,0.004363183
-0.05,0.9933716,0.0051340105
0,0.99251708,0.0058614298
