x_over_lstar,density_mean_2pi_rho_lstar2,density_stderr
3.9,0.00059480821,0.00013508751
3.95,0.00055292031,0.00011125524
4,0.0004272566,8.0509524e-05
4.05,0.00025970499,7.9885168e-05
4.1,0.00041050144,0.00013284493
4.15,0.00017592919,4.4444675e-05
4.2,8.3775804e-05,3.9398263e-05
4.25,0.00011728613,5.5807353e-05
4.3,7.5398224e-05,2.7813809e-05
4.35,7.5398224e-05,3.4989333e-05
4.4,0.00010053096,3.7974536e-05
4.45,0.00017592919,7.9571153e-05
4.5,6.7020643e-05,2.7222443e-05
4.55,6.7020643e-05,3.227215e-05
4.6,9.2153385e-05,5.1247063e-05
4.65,5.8643063e-05,3.1684979e-05
4.7,0.00012566371,6.7964076e-05
4.75,4.1887902e-05,2.4766479e-05
4.8,8.3775804e-05,4.7992696e-05
4.85,9.2153385e-05,3.352775e-05
4.9,9.2153385e-05,3.5697691e-05
4.95,0.00030159289,9.0397477e-05
5,0.00021781709,5.9708509e-05
5.05,0.00025132741,7.1465481e-05
5.1,0.0004272566,0.00013601101
5.15,0.00067858401,0.00015702807
5.2,0.00070371675,0.00011653089
5.25,0.00061156337,0.00011144635
5.3,0.00071209433,0.00019574826
5.35,0.0011477285,0.00015680471
5.4,0.0012482595,0.00019894519
5.45,0.0016252506,0.00017493951
5.5,0.0022284364,0.00021500281
5.55,0.0022033036,0.00024898049
5.6,0.0024881414,0.00022242607
5.65,0.0035269614,0.00035742898
5.7,0.0038369318,0.00034096409
5.75,0.0040631265,0.00028979783
5.8,0.0048422415,0.00041180442
5.85,0.0062999405,0.00042685004
5.9,0.0061742768,0.00036986272
5.95,0.0086624181,0.00042487474
6,0.0094750434,0.00050550815
6.05,0.011594571,0.00071777287
6.1,0.012859586,0.00048564421
6.15,0.014928848,0.00067282119
6.2,0.016327904,0.00060819593
6.25,0.020608848,0.00071223349
6.3,0.023055101,0.00074681913
6.35,0.027210381,0.00068095825
6.4,0.028374865,0.000695194
6.45,0.033736516,0.00082132128
6.5,0.037715867,0.00086811253
6.55,0.04120094,0.00087680733
6.6,0.04843917,0.0011124804
6.65,0.053499228,0.0013723547
6.7,0.060687192,0.0015739944
6.75,0.067137929,0.0015581197
6.8,0.073605421,0.0013524532
6.85,0.080558813,0.0014887526
6.9,0.090117632,0.0016129255
6.95,0.099844003,0.0013743345
7,0.10842265,0.0018989879
7.05,0.11699291,0.0019426316
7.1,0.12820211,0.002204328
7.15,0.13590949,0.0017128352
7.2,0.14768837,0.0020343672
7.25,0.16248317,0.0025722245
7.3,0.17033296,0.001976673
7.35,0.17828329,0.0018278423
7.4,0.18718866,0.002288189
7.45,0.19988069,0.0021487637
7.5,0.20793992,0.0026988061
7.55,0.2138545,0.002651041
