-5,0,0
-4.95,8.3775804e-06,8.5207973e-06
-4.9,0,0
-4.85,8.3775804e-06,8.5207973e-06
-4.8,0,0
-4.75,8.3775804e-06,8.5207973e-06
-4.7,1.6755161e-05,1.7041595e-05
-4.65,1.6755161e-05,1.1840642e-05
-4.6,1.6755161e-05,1.7041595e-05
-4.55,5.0265482e-05,3.5521926e-05
-4.5,8.3775804e-06,8.5207973e-06
-4.45,0.00012566371,5.163641e-05
-4.4,2.5132741e-05,1.8788443e-05
-4.35,9.2153385e-05,5.1247063e-05
-4.3,0.00013404129,5.9708509e-05
-4.25,2.5132741e-05,1.4240451e-05
-4.2,7.5398224e-05,2.7813809e-05
-4.15,0.00015917403,7.7012951e-05
-4.1,0.00029321531,9.5002245e-05
-4.05,0.00023457225,6.5925904e-05
-4,0.00021781709,6.9042213e-05
-3.95,0.00030997048,8.4633083e-05
-3.9,0.0003434808,8.4455407e-05
-3.85,0.00050265482,0.00013369967
-3.8,0.00060318579,0.00010076976
-3.75,0.00084613562,0.00014213175
-3.7,0.0010136872,0.00016096462
-3.65,0.00087964594,0.00012781196
-3.6,0.0014828317,0.00025631347
-3.55,0.0015749851,0.00021367122
-3.5,0.0020860175,0.00023611936
-3.45,0.0025970499,0.00026181707
-3.4,0.002756224,0.00026753507
-3.35,0.0030578168,0.00029569872
-3.3,0.0043647194,0.00040100225
-3.25,0.0046411795,0.00034529808
-3.2,0.0052024774,0.00033478804
-3.15,0.006568023,0.00042025344
-3.1,0.0084278459,0.00050752233
-3.05,0.0086121527,0.00042153826
-3,0.010296046,0.00058374699
-2.95,0.011711857,0.00049914611
-2.9,0.014434571,0.00064838617
-2.85,0.016696518,0.0005462874
-2.8,0.018866311,0.00069612071
-2.75,0.021128258,0.00058277477
-2.7,0.02475575,0.00066089945
-2.65,0.028642947,0.00087950576
-2.6,0.031575101,0.001015825
-2.55,0.035964953,0.00084018661
-2.5,0.041041766,0.0008287377
-2.45,0.044861943,0.0010257775
-2.4,0.052770379,0.0010799736
-2.35,0.05938029,0.0011507766
-2.3,0.06564672,0.0013307127
-2.25,0.071201056,0.0016170397
-2.2,0.081346306,0.0012292535
-2.15,0.09220365,0.0015889544
-2.1,0.10573344,0.0016636516
-2.05,0.114865,0.001722926
-2,0.12852046,0.0018586474
-1.95,0.14126276,0.0016100474
-1.9,0.15785037,0.001739216
-1.85,0.16798724,0.0019965844
-1.8,0.18293285,0.002249969
-1.75,0.2047732,0.002432813
-1.7,0.21963503,0.0027810663
-1.65,0.24360328,0.0022410786
-1.6,0.26340788,0.0022953837
-1.55,0.28417591,0.0027731637
-1.5,0.30986157,0.0029645978
-1.45,0.32938133,0.0036153109
-1.4,0.3588369,0.0028637298
-1.35,0.38631537,0.0029224964
-1.3,0.4136933,0.0022691402
-1.25,0.44182521,0.0037444631
-1.2,0.46243406,0.0033993857
-1.15,0.49133671,0.0042970185
-1.1,0.52265211,0.0035756838
-1.05,0.56346768,0.0031468326
-1,0.58798886,0.0038855867
-0.95,0.60850555,0.0040274177
-0.9,0.65223652,0.0030909782
-0.85,0.67532513,0.0030221107
-0.8,0.69545646,0.0045535269
-0.75,0.72482826,0.0041012609
-0.7,0.75510483,0.0041512759
-0.65,0.79119545,0.0039443342
-0.6,0.81544854,0.0044957425
-0.55,0.8425919,0.0050543785
-0.5,0.86077125,0.0045606735
-0.45,0.87990565,0.0037475508
