x_over_lstar,density_noninteracting,density_before_vortex,density_after_vortex
-5,3.7266532e-06,2.1506791e-06,3.7297515e-06
-4.9444444,4.9123141e-06,2.8489931e-06,4.9163238e-06
-4.8888889,6.4552469e-06,3.762485e-06,6.4604183e-06
-4.8333333,8.456666e-06,4.9536556e-06,8.4633126e-06
-4.7777778,1.1044475e-05,6.5019638e-06,1.1052988e-05
-4.7222222,1.4379725e-05,8.50807e-06,1.4390591e-05
-4.6666667,1.8664469e-05,1.1099039e-05,1.8678291e-05
-4.6111111,2.4151288e-05,1.4434695e-05,2.4168808e-05
-4.5555556,3.115477e-05,1.8715344e-05,3.1176899e-05
-4.5,4.0065297e-05,2.4191122e-05,4.0093151e-05
-4.4444444,5.1365531e-05,3.1173266e-05,5.1400466e-05
-4.3888889,6.5650008e-05,4.0047623e-05,6.5693667e-05
-4.3333333,8.3648347e-05,5.1290792e-05,8.3702716e-05
-4.2777778,0.00010625259,6.54893e-05,0.00010632005
-4.2222222,0.00013454925,8.3362292e-05,0.00013463266
-4.1666667,0.00016985668,0.00010578823,0.00016995942
-4.1111111,0.00021376842,0.00013383619,0.00021389452
-4.0555556,0.00026820326,0.00016880229,0.00026835746
-4,0.00033546263,0.00021225197,0.00033565049
-3.9444444,0.00041829611,0.00026606873,0.00041852412
-3.8888889,0.00051997574,0.00033251001,0.00052025145
-3.8333333,0.00064437982,0.00041427092,0.00064471193
-3.7777778,0.00079608669,0.00051455654,0.00079648521
-3.7222222,0.00098047919,0.00063716331,0.00098095553
-3.6666667,0.00120386,0.0007865702,0.0012044271
-3.6111111,0.0014735781,0.00096804016,0.0014742507
-3.5555556,0.0017981667,0.0011877321,0.001798961
-3.5,0.0021874911,0.0014528237,0.0021884256
-3.4444444,0.0026529083,0.0017716451,0.002654003
-3.3888889,0.0032074343,0.0021538231,0.0032087113
-3.3333333,0.0038659201,0.0026104349,0.0038674036
-3.2777778,0.0046452338,0.0031541719,0.0046469495
-3.2222222,0.005564445,0.0037995097,0.0055664206
-3.1666667,0.0066450113,0.0045628856,0.0066472759
-3.1111111,0.0079109597,0.0054628778,0.0079135436
-3.0555556,0.0093890621,0.0065203871,0.0093919963
-3,0.011108997,0.0077588139,0.011112312
-2.9444444,0.013103492,0.0092042299,0.01310722
-2.8888889,0.015408446,0.010885536,0.015412616
-2.8333333,0.018063013,0.012834606,0.018067654
-2.7777778,0.021109656,0.015086403,0.02111479
-2.7222222,0.024594144,0.017679069,0.024599791
-2.6666667,0.028565501,0.020653977,0.028571674
-2.6111111,0.033075891,0.024055741,0.033082596
-2.5555556,0.038180434,0.027932164,0.038187666
-2.5,0.043936934,0.032334144,0.043944677
-2.4444444,0.050405533,0.037315492,0.050413758
-2.3888889,0.057648269,0.04293269,0.057656929
-2.3333333,0.065728529,0.04924456,0.06573756
-2.2777778,0.074710413,0.056311845,0.074719731
-2.2222222,0.084657989,0.064196698,0.084667484
-2.1666667,0.095634445,0.072962074,0.095643985
-2.1111111,0.10770115,0.082671023,0.10771057
-2.0555556,0.12091659,0.093385882,0.1209257
-2,0.13533528,0.10516737,0.13534387
-1.9444444,0.15100654,0.1180736,0.15101434
-1.8888889,0.16797324,0.13215899,0.16797996
-1.8333333,0.18627046,0.14747311,0.18627579
-1.7777778,0.20592425,0.16405948,0.20592781
-1.7222222,0.22695019,0.18195428,0.22695161
