-6,1.522998e-08,1.522998e-08,1.522998e-08,1.522998e-08,1.522998e-08,1.522998e-08,1.522998e-08,1.522998e-08,1.522998e-08,1.522998e-08,1.522998e-08,1.522998e-08
-5.9375,2.2116252e-08,2.2116252e-08,2.2116252e-08,2.2116252e-08,2.2116252e-08,2.2116252e-08,2.2116252e-08,2.2116252e-08,2.2116252e-08,2.2116252e-08,2.2116252e-08,2.2116252e-08
-5.875,3.1990959e-08,3.1990959e-08,3.1990959e-08,3.1990959e-08,3.1990959e-08,3.1990959e-08,3.1990959e-08,3.1990959e-08,3.1990959e-08,3.1990959e-08,3.1990959e-08,3.1990959e-08
-5.8125,4.6094227e-08,4.6094227e-08,4.6094227e-08,4.6094227e-08,4.6094227e-08,4.6094227e-08,4.6094227e-08,4.6094227e-08,4.6094227e-08,4.6094227e-08,4.6094227e-08,4.6094227e-08
-5.75,6.6156016e-08,6.6156016e-08,6.6156016e-08,6.6156016e-08,6.6156016e-08,6.6156016e-08,6.6156016e-08,6.6156016e-08,6.6156016e-08,6.6156016e-08,6.6156016e-08,6.6156016e-08
-5.6875,9.4579213e-08,9.4579213e-08,9.4579213e-08,9.4579213e-08,9.4579213e-08,9.4579213e-08,9.4579213e-08,9.4579213e-08,9.4579213e-08,9.4579213e-08,9.4579213e-08,9.4579213e-08
-5.625,1.3468697e-07,1.3468697e-07,1.3468697e-07,1.3468697e-07,1.3468697e-07,1.3468697e-07,1.3468697e-07,1.3468697e-07,1.3468697e-07,1.3468697e-07,1.3468697e-07,1.3468697e-07
-5.5625,1.9105526e-07,1.9105526e-07,1.9105526e-07,1.9105526e-07,1.9105526e-07,1.9105526e-07,1.9105526e-07,1.9105526e-07,1.9105526e-07,1.9105526e-07,1.9105526e-07,1.9105526e-07
-5.5,2.6995785e-07,2.6995785e-07,2.6995785e-07,2.6995785e-07,2.6995785e-07,2.6995785e-07,2.6995785e-07,2.6995785e-07,2.6995785e-07,2.6995785e-07,2.6995785e-07,2.6995785e-07
-5.4375,3.7995876e-07,3.7995876e-07,3.7995876e-07,3.7995876e-07,3.7995876e-07,3.7995876e-07,3.7995876e-07,3.7995876e-07,3.7995876e-07,3.7995876e-07,3.7995876e-07,3.7995876e-07
-5.375,5.326973e-07,5.326973e-07,5.326973e-07,5.326973e-07,5.326973e-07,5.326973e-07,5.326973e-07,5.326973e-07,5.326973e-07,5.326973e-07,5.326973e-07,5.326973e-07
-5.3125,7.4392313e-07,7.4392313e-07,7.4392313e-07,7.4392313e-07,7.4392313e-07,7.4392313e-07,7.4392313e-07,7.4392313e-07,7.4392313e-07,7.4392313e-07,7.4392313e-07,7.4392313e-07
-5.25,1.0348542e-06,1.0348542e-06,1.0348542e-06,1.0348542e-06,1.0348542e-06,1.0348542e-06,1.0348542e-06,1.0348542e-06,1.0348542e-06,1.0348542e-06,1.0348542e-06,1.0348542e-06
-5.1875,1.4339494e-06,1.4339494e-06,1.4339494e-06,1.4339494e-06,1.4339494e-06,1.4339494e-06,1.4339494e-06,1.4339494e-06,1.4339494e-06,1.4339494e-06,1.4339494e-06,1.4339494e-06
-5.125,1.9792106e-06,1.9792106e-06,1.9792106e-06,1.9792106e-06,1.9792106e-06,1.9792106e-06,1.9792106e-06,1.9792106e-06,1.9792106e-06,1.9792106e-06,1.9792106e-06,1.9792106e-06
-5.0625,2.7211577e-06,2.7211577e-06,2.7211577e-06,2.7211577e-06,2.7211577e-06,2.7211577e-06,2.7211577e-06,2.7211577e-06,2.7211577e-06,2.7211577e-06,2.7211577e-06,2.7211577e-06
-5,3.7266532e-06,3.7266532e-06,3.7266532e-06,3.7266532e-06,3.7266532e-06,3.7266532e-06,3.7266532e-06,3.7266532e-06,3.7266532e-06,3.7266532e-06,3.7266532e-06,3.7266532e-06
-4.9375,5.083792e-06,5.083792e-06,5.083792e-06,5.083792e-06,5.083792e-06,5.083792e-06,5.083792e-06,5.083792e-06,5.083792e-06,5.083792e-06,5.083792e-06,5.083792e-06
-4.875,6.9081236e-06,6.9081236e-06,6.9081236e-06,6.9081236e-06,6.9081236e-06,6.9081236e-06,6.9081236e-06,6.9081236e-06,6.9081236e-06,6.9081236e-06,6.9081236e-06,6.9081236e-06
-4.8125,9.3505245e-06,9.3505245e-06,9.3505245e-06,9.3505245e-06,9.3505245e-06,9.3505245e-06,9.3505245e-06,9.3505245e-06,9.3505245e-06,9.3505245e-06,9.3505245e-06,9.3505245e-06
-4.75,1.2607105e-05,1.2607105e-05,1.2607105e-05,1.2607105e-05,1.2607105e-05,1.2607105e-05,1.2607105e-05,1.2607105e-05,1.2607105e-05,1.2607105e-05,1.2607105e-05,1.2607105e-05
-4.6875,1.6931612e-05,1.6931612e-05,1.6931612e-05,1.6931612e-05,1.6931612e-05,1.6931612e-05,1.6931612e-05,1.6931612e-05,1.6931612e-05,1.6931612e-05,1.6931612e-05,1.6931612e-05
-4.625,2.2650865e-05,2.2650865e-05,2.2650865e-05,2.2650865e-05,2.2650865e-05,2.2650865e-05,2.2650865e-05,2.2650865e-05,2.2650865e-05,2.2650865e-05,2.2650865e-05,2.2650865e-05
-4.5625,3.0183863e-05,3.0183863e-05,3.0183863e-05,3.0183863e-05,3.0183863e-05,3.0183863e-05,3.0183863e-05,3.0183863e-05,3.0183863e-05,3.0183863e-05,3.0183863e-05,3.0183863e-05
-4.5,4.0065297e-05,4.0065297e-05,4.0065297e-05,4.0065297e-05,4.0065297e-05,4.0065297e-05,4.0065297e-05,4.0065297e-05,4.0065297e-05,4.0065297e-05,4.0065297e-05,4.0065297e-05
-4.4375,5.2974329e-05,5.2974329e-05,5.2974329e-05,5.2974329e-05,5.2974329e-05,5.2974329e-05,5.2974329e-05,5.2974329e-05,5.2974329e-05,5.2974329e-05,5.2974329e-05,5.2974329e-05
-4.375,6.9769577e-05,6.9769577e-05,6.9769577e-05,6.9769577e-05,6.9769577e-05,6.9769577e-05,6.9769577e-05,6.9769577e-05,6.9769577e-05,6.9769577e-05,6.9769577e-05,6.9769577e-05
-4.3125,9.1531432e-05,9.1531432e-05,9.1531432e-05,9.1531432e-05,9.1531432e-05,9.1531432e-05,9.1531432e-05,9.1531432e-05,9.1531432e-05,9.1531432e-05,9.1531432e-05,9.1531432e-05
-4.25,0.00011961288,0.00011961288,0.00011961288,0.00011961288,0.00011961288,0.00011961288,0.00011961288,0.00011961288,0.00011961288,0.00011961288,0.00011961288,0.00011961288
-4.1875,0.00015570021,0.00015570021,0.00015570021,0.00015570021,0.00015570021,0.00015570021,0.00015570021,0.00015570021,0.00015570021,0.00015570021,0.00015570021,0.00015570021
-4.125,0.00020188497,0.00020188497,0.00020188497,0.00020188497,0.00020188497,0.00020188497,0.00020188497,0.00020188497,0.00020188497,0.00020188497,0.00020188497,0.00020188497
-4.0625,0.00026074878,0.00026074878,0.00026074878,0.00026074878,0.00026074878,0.00026074878,0.00026074878,0.00026074878,0.00026074878,0.00026074878,0.00026074878,0.00026074878
-4,0.00033546263,0.00033546263,0.00033546263,0.00033546263,0.00033546263,0.00033546263,0.00033546263,0.00033546263,0.00033546263,0.00033546263,0.00033546263,0.00033546263
-3.9375,0.00042990207,0.00042990207,0.00042990207,0.00042990207,0.00042990207,0.00042990207,0.00042990207,0.00042990207,0.00042990207,0.00042990207,0.00042990207,0.00042990207
-3.875,0.00054878023,0.00054878023,0.00054878023,0.00054878023,0.00054878023,0.00054878023,0.00054878023,0.00054878023,0.00054878023,0.00054878023,0.00054878023,0.00054878023
