x,y_mean,y_stderr,y_plotted,y_plotted_stderr
0.00083333333,2.7993295,0.006203125,0.99966658,0.0022151936
0.005,2.8064586,0.0075110918,1.0022125,0.0026822807
0.0125,2.7946868,0.0084295367,0.99800863,0.0030102659
0.023333333,2.7822717,0.0083469797,0.99357508,0.002980784
0.0375,2.7551127,0.0069563936,0.98387635,0.0024841928
0.055,2.7489411,0.0079225811,0.98167242,0.0028292273
0.075833333,2.7250787,0.0070840567,0.97315093,0.0025297825
0.1,2.6943088,0.0065957678,0.96216272,0.00235541
0.1275,2.6583642,0.0079109131,0.94932656,0.0028250606
0.15833333,2.6180085,0.0063380797,0.93491517,0.0022633872
0.1925,2.5846041,0.0061794077,0.92298615,0.0022067239
0.23,2.5265221,0.0069449672,0.90224453,0.0024801123
0.27083333,2.4688314,0.0058230979,0.88164264,0.0020794824
0.315,2.4059826,0.0055337474,0.85919875,0.0019761526
0.3625,2.3457704,0.0069449596,0.83769641,0.0024801096
0.41333333,2.2714215,0.0059033641,0.81114573,0.0021081462
0.4675,2.1802097,0.0068501182,0.77857315,0.0024462409
0.525,2.0765869,0.004158888,0.74156848,0.0014851776
0.58583333,1.9604025,0.0046496035,0.70007795,0.0016604166
0.65,1.8350802,0.0038653687,0.6553242,0.0013803591
0.7175,1.6861088,0.0032791231,0.60212512,0.0011710053
0.78833333,1.5167481,0.0032948002,0.54164484,0.0011766038
0.8625,1.1416451,0.0024725832,0.40769208,0.00088298244
0.94,1,0,0.35710929,0
