x,y_mean,y_stderr,y_plotted,y_plotted_stderr
0,1.8129843,0.0031612245,1,0.001743658
0.0034032898,1.8073499,0.0034111755,0.9968922,0.0018815251
0.011344299,1.8066474,0.003276299,0.99650471,0.0018071304
0.023823029,1.7974976,0.0030310457,0.9914579,0.0016718544
0.040839478,1.7876742,0.0029266061,0.98603954,0.0016142479
0.062393647,1.7810215,0.0036536566,0.98237006,0.0020152721
0.088485536,1.7643391,0.0039055736,0.97316844,0.0021542236
0.11911514,1.7427903,0.0029562949,0.96128262,0.0016306236
0.15428247,1.7249032,0.0034127944,0.95141651,0.0018824181
0.19398752,1.6981346,0.0034268549,0.93665157,0.0018901735
0.23823029,1.6757437,0.0031363692,0.92430127,0.0017299484
0.28701078,1.644025,0.0032049909,0.90680598,0.0017677985
0.34032898,1.6070739,0.002849601,0.88642461,0.0015717737
0.39818491,1.5654674,0.0032017279,0.86347543,0.0017659987
0.46057856,1.5180868,0.0026909122,0.83734139,0.0014842446
0.52750993,1.4662817,0.0029734348,0.8087669,0.0016400775
0.59897901,1.401145,0.0026775545,0.77283901,0.0014768768
0.67498582,1.3202491,0.002221697,0.72821872,0.0012254364
0.75553035,1.1294261,0.0018790677,0.62296519,0.0010364501
0.84061259,1.0702254,0.0016702161,0.59031145,0.00092125238
0.93023256,1,0,0.55157676,0
