x,y_mean,y_stderr,y_plotted,y_plotted_stderr
0,1.4917123,0.0021061187,1,0.00141188
0.01242236,1.4835458,0.002756065,0.99452542,0.0018475848
0.041407867,1.4688012,0.0026782623,0.98464107,0.0017954282
0.086956522,1.4484595,0.0023390324,0.9710046,0.0015680184
0.14906832,1.4218684,0.0022703936,0.95317871,0.001522005
0.22774327,1.3872059,0.0024159994,0.92994199,0.0016196149
0.32298137,1.3389869,0.0023137201,0.89761739,0.0015510498
0.43478261,1.2744018,0.0021665776,0.85432144,0.0014524098
0.563147,1.0910494,0.0020709404,0.73140739,0.0013882975
0.70807453,1.0504153,0.0014003216,0.70416749,0.00093873437
0.86956522,1,0,0.67037055,0
