0,3.6336793,0.0062058245,1,0.0017078625
0.0058651026,3.6156301,0.0081866571,0.9950328,0.0022529938
0.019550342,3.5855504,0.010050063,0.98675477,0.002765809
0.041055718,3.5376591,0.008849215,0.97357494,0.0024353319
0.070381232,3.4668378,0.0093680882,0.95408469,0.0025781274
0.10752688,3.3793722,0.010181791,0.93001388,0.002802061
0.15249267,3.2637406,0.01024336,0.8981917,0.002819005
0.20527859,3.1343513,0.0082508621,0.86258336,0.0022706633
0.26588465,2.980998,0.0073938658,0.82038005,0.0020348152
0.33431085,2.7954355,0.0060024944,0.76931266,0.0016519054
0.41055718,2.5814974,0.0050556793,0.71043622,0.0013913389
0.49462366,2.3298456,0.0035480943,0.64118085,0.00097644674
0.58651026,2.06769,0.0033234683,0.56903481,0.00091462895
0.68621701,1.765746,0.0024708667,0.48593887,0.00067999031
0.79374389,1.218775,0.0013962159,0.33541072,0.00038424302
0.90909091,1,0,0.27520315,0
