x,y_mean,y_stderr,y_plotted,y_plotted_stderr
0.0018382353,2.3889791,0.0039640943,0.9992643,0.0016581049
0.011029412,2.3802957,0.0046662287,0.9956322,0.0019517943
0.027573529,2.3560685,0.0052648595,0.98549842,0.0022021901
0.051470588,2.3397285,0.0047072926,0.97866372,0.0019689705
0.082720588,2.3058632,0.0054370903,0.96449851,0.002274231
0.12132353,2.2693658,0.0047079266,0.94923234,0.0019692357
0.16727941,2.2227233,0.004515426,0.92972268,0.0018887164
0.22058824,2.1607424,0.0044740193,0.90379725,0.0018713968
0.28125,2.0920396,0.0043127823,0.87506018,0.0018039544
0.34926471,2.0033893,0.0043916682,0.83797946,0.0018369509
0.42463235,1.9074164,0.0033119792,0.79783583,0.0013853376
0.50735294,1.7933731,0.0035423146,0.75013369,0.0014816825
0.59742647,1.6596722,0.0036548848,0.69420916,0.0015287685
0.69485294,1.5018689,0.0024876292,0.62820306,0.0010405278
0.79963235,1.13077,0.0017132308,0.47297948,0.0007166117
0.91176471,1,0,0.41828089,0
