x,y_mean,y_stderr,y_plotted,y_plotted_stderr
0,1.6787391,0.0026970051,1,0.001606566
0.0031007752,1.6798732,0.0028439132,1.0006756,0.0016940769
0.010335917,1.6750819,0.0021745039,0.99782146,0.0012953197
0.021705426,1.6675547,0.0023894975,0.99333762,0.0014233882
0.037209302,1.6614979,0.0027738999,0.98972967,0.0016523711
0.056847545,1.6520079,0.0025064281,0.98407662,0.0014930421
0.080620155,1.6387631,0.0022201755,0.97618689,0.0013225256
0.10852713,1.6233757,0.0020810911,0.96702084,0.0012396751
0.14056848,1.6081611,0.002446985,0.95795773,0.0014576327
0.17674419,1.5879524,0.0039947667,0.94591971,0.0023796233
0.21705426,1.5638293,0.0025624058,0.93154994,0.0015263872
0.26149871,1.5377671,0.0027232187,0.91602507,0.001622181
0.31007752,1.5100902,0.0021832424,0.89953835,0.0013005251
0.3627907,1.4779104,0.0020522792,0.88036932,0.0012225123
0.41963824,1.4417906,0.0022661954,0.85885329,0.001349939
0.48062016,1.4009368,0.0021994857,0.83451729,0.001310201
0.54573643,1.3476589,0.0018787737,0.80278043,0.0011191576
0.61498708,1.2941253,0.0018740683,0.77089126,0.0011163547
0.68837209,1.1481871,0.001488226,0.68395804,0.00088651417
0.76589147,1.0943177,0.0013178627,0.65186883,0.00078503128
0.84754522,1.056996,0.0011944094,0.62963685,0.00071149198
0.93333333,1,0,0.59568518,0
