x,y_mean,y_stderr,y_plotted,y_plotted_stderr
0,1.6629,0.0023390209,1,0.0014065914
0.0058651026,1.6610396,0.0026365428,0.99888123,0.0015855089
0.019550342,1.6539925,0.0030846828,0.99464339,0.001855002
0.041055718,1.6453466,0.0028593109,0.9894441,0.0017194725
0.070381232,1.6355721,0.0030550668,0.98356612,0.0018371921
0.10752688,1.6113026,0.0028193325,0.96897144,0.0016954312
0.15249267,1.5885499,0.0028510053,0.95528889,0.0017144779
0.20527859,1.556303,0.0026142039,0.93589693,0.0015720752
0.26588465,1.5228802,0.0027171262,0.91579782,0.0016339685
0.33431085,1.4823465,0.0024465801,0.89142251,0.0014712731
0.41055718,1.4358301,0.0022146995,0.86344946,0.0013318296
0.49462366,1.3781932,0.0022725323,0.82878898,0.0013666079
0.58651026,1.3050693,0.0020656466,0.78481526,0.0012421953
0.68621701,1.1187546,0.0019998733,0.67277323,0.001202642
0.79374389,1.0632141,0.001602837,0.63937344,0.00096388057
0.90909091,1,0,0.60135907,0
