0.31469512,0.56559924,0.0032683053,0.032821471,0.00064777223
0.75981549,0.51730828,0.0028659004,0.056071762,0.00086154012
0.99037029,0.4855502,0.0032926342,0.073027658,0.0010808009
1.1749555,0.44996884,0.0027514329,0.082931391,0.0012105843
1.3338556,0.41486051,0.0026305204,0.085876717,0.0013180801
1.4756367,0.39401551,0.0021921652,0.084690601,0.0013878439
1.6049273,0.37967101,0.00234651,0.080661431,0.0014636955
1.7245752,0.36385763,0.0020403513,0.073498078,0.0015185319
1.8364843,0.34947838,0.0021165065,0.063484785,0.0015754076
1.9420029,0.3405251,0.0020149844,0.051696967,0.0016252392
2.0421276,0.33681601,0.0022400146,0.039174014,0.0016847876
2.1376202,0.33202364,0.002208081,0.025701221,0.0017406998
2.2290786,0.32716076,0.0020806062,0.011264615,0.0017888787
2.3169822,0.3224204,0.0022982075,-0.0041115215,0.0018459598
2.4017225,0.32443894,0.0021650314,-0.019087588,0.0018951778
2.4836242,0.324655,0.0021094177,-0.034020831,0.0019407453
2.5629602,0.3318354,0.0019787737,-0.047530931,0.0019799759
2.6399623,0.33627803,0.0020941595,-0.060160511,0.0020230122
2.7148294,0.33933818,0.0021424023,-0.072183574,0.0020670948
2.787734,0.34230066,0.0021971285,-0.083619479,0.0021124659
2.8588265,0.34641268,0.0020763865,-0.09424039,0.0021521789
2.9282391,0.35597697,0.0023043153,-0.10296568,0.0022001044
2.9960887,0.35879076,0.0022825592,-0.11113327,0.0022461354
3.0624794,0.35981465,0.0024068898,-0.11909794,0.0022962344
3.1275044,0.36765364,0.0024684592,-0.12550893,0.002347776
3.1912471,0.37457904,0.0019786746,-0.13054732,0.0023803045
3.2537832,0.37874232,0.002156263,-0.13476055,0.0024183656
3.3151809,0.38702949,0.0023112238,-0.13733128,0.0024613675
3.3755026,0.39105596,0.0021903243,-0.13910397,0.0024993577
3.434805,0.39739242,0.0022296928,-0.13962079,0.0025381259
3.4931401,0.39931798,0.0022797411,-0.13975597,0.0025780308
3.5505558,0.40665288,0.0022923576,-0.13843738,0.0026177603
3.6070959,0.41247742,0.0021386104,-0.13596437,0.0026518547
3.6628012,0.41103955,0.0026341278,-0.13377636,0.0027027579
3.7177092,0.41475197,0.0023934246,-0.13085254,0.0027440717
3.7718548,0.41653475,0.0025058988,-0.12757539,0.0027886565
3.8252705,0.42401197,0.0019984494,-0.12281626,0.0028166455
3.8779864,0.42336965,0.0023147866,-0.11818443,0.0028537654
3.9300309,0.42382242,0.0022226919,-0.11346287,0.0028875676
3.9814304,0.42220909,0.0021085059,-0.10906107,0.0029176513
4.0322095,0.42896652,0.0021653944,-0.10331996,0.0029490476
4.0823915,0.42904409,0.0021106959,-0.097563473,0.0029785713
4.1319982,0.42820485,0.0024675992,-0.091973323,0.0030184566
