4,0.29170763,0.27812265,0.18625894,0.40815988,0.38856355,0.26839106,0.67047434,0.60410236,0.3879478
4.5,0.29096114,0.29975806,0.29415062,0.40820666,0.42169644,0.41566644,0.68170608,0.69965829,0.67443099
5,0.28844507,0.29568384,0.3061872,0.40458148,0.4162011,0.43343378,0.67669696,0.69948835,0.72800404
5.5,0.28710281,0.29088663,0.29836247,0.4024764,0.40889152,0.42109292,0.67268072,0.68721694,0.71300141
6,0.28651198,0.28850149,0.29238343,0.40148646,0.40505953,0.41174472,0.67048086,0.67925892,0.69483483
6.5,0.28622885,0.28741449,0.28954274,0.4009811,0.40319952,0.40707048,0.66925739,0.67498378,0.68465386
7,0.28607136,0.28685831,0.28818492,0.40068777,0.40219127,0.4046913,0.66850921,0.67249218,0.67900487
7.5,0.2859733,0.28653098,0.28743989,0.4005012,0.40157649,0.40331873,0.6680201,0.67090645,0.67554405
8,0.28590794,0.28631917,0.28697743,0.40037564,0.40117196,0.40244312,0.66768613,0.66983952,0.67326095
9,0.28582987,0.28607118,0.28645023,0.40022475,0.40069387,0.40143003,0.66728031,0.66855933,0.6705622
10,0.28578801,0.28594006,0.28617635,0.40014342,0.40043961,0.40089966,0.66705947,0.66787073,0.66912933
11,0.28576386,0.28586481,0.28602057,0.40009626,0.40029315,0.40059684,0.66693045,0.66747132,0.668305
12,0.28574921,0.28581904,0.28592621,0.40006741,0.40020369,0.40041284,0.66685089,0.667226,0.66780144
13,0.28574006,0.28579,0.28586633,0.40004909,0.40014658,0.40029561,0.66679976,0.66706841,0.66747906
14,0.28573434,0.28577106,0.285827,0.40003723,0.40010891,0.40021813,0.66676587,0.66696352,0.66726476
15,0.28573092,0.28575858,0.28580059,0.40002958,0.40008352,0.4001655,0.66674297,0.66689173,0.66711794
16,0.28572921,0.28575049,0.2857827,0.40002485,0.40006628,0.4001291,0.66672741,0.66684161,0.66701491
17,0.28572888,0.28574557,0.28577075,0.40002234,0.40005475,0.40010375,0.66671703,0.66680622,0.66694133
18,0.28572981,0.28574314,0.28576316,0.40002165,0.40004742,0.40008628,0.66671051,0.66678125,0.66688822
