4,0.2583258,0.22315446,0.19606669,0.35313876,0.2937894,0.23082629,0.56081131,0.4412747,0.29746908
4.5,0.26621579,0.24006677,0.20678125,0.36522763,0.32202277,0.26629114,0.58321276,0.49205984,0.37959435
5,0.27100491,0.25274343,0.22850254,0.37286422,0.34127094,0.30127188,0.59877683,0.52677521,0.44178638
5.5,0.27401232,0.26048086,0.2436919,0.37799041,0.35353254,0.32440512,0.61021556,0.55125754,0.48428267
6,0.27607842,0.26539289,0.25294866,0.38168789,0.36186821,0.33929937,0.61896343,0.56955012,0.51472602
6.5,0.27760217,0.26881329,0.25896228,0.38448965,0.3679616,0.3496403,0.62582754,0.58375174,0.53779315
7,0.27877638,0.27136661,0.26324492,0.38668057,0.37263389,0.35732849,0.63131633,0.59504263,0.55588466
7.5,0.27970678,0.27335446,0.26649235,0.38843201,0.37632535,0.36329474,0.63577394,0.60417638,0.57038619
8,0.28045878,0.27494353,0.26904844,0.38985629,0.37930335,0.36805204,0.63944263,0.61167099,0.58220175
9,0.28158969,0.27730829,0.2728001,0.39201176,0.38377372,0.37511174,0.64506774,0.62312361,0.60011529
10,0.28238865,0.27896245,0.2753916,0.39354395,0.38692649,0.38003582,0.64911918,0.63134363,0.61286759
11,0.28297469,0.28016772,0.27726385,0.39467273,0.3892366,0.38361617,0.65213203,0.63744098,0.62227029
12,0.28341755,0.28107421,0.27866343,0.39552852,0.3909812,0.38630493,0.65443227,0.64208738,0.62940318
13,0.28376038,0.28177363,0.27973844,0.39619281,0.39233156,0.38837734,0.65622754,0.6457086,0.63494294
14,0.28403112,0.28232473,0.28058264,0.39671866,0.39339836,0.3900093,0.65765507,0.64858501,0.6393313
15,0.28424848,0.28276665,0.28125789,0.39714188,0.3942558,0.39131776,0.65880846,0.65090732,0.64286666
16,0.28442537,0.28312625,0.28180644,0.39748728,0.39495513,0.39238299,0.6597533,0.65280882,0.64575649
17,0.28457094,0.28342251,0.28225791,0.39777251,0.39553272,0.39326163,0.66053658,0.65438496,0.64814866
18,0.28469175,0.28366909,0.28263361,0.39801037,0.39601489,0.39399456,0.66119268,0.65570548,0.65015085
