x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-25.237302,0,0
-25.137302,0,0
-25.037302,0,0
-24.937302,0,0
-24.837302,0,0
-24.737302,0,0
-24.637302,0,0
-24.537302,0,0
-24.437302,0,0
-24.337302,0,0
-24.237302,0,0
-24.137302,0,0
-24.037302,0,0
-23.937302,0,0
-23.837302,0,0
-23.737302,0,0
-23.637302,0,0
-23.537302,0,0
-23.437302,0,0
-23.337302,0,0
-23.237302,0,0
-23.137302,0,0
-23.037302,0,0
-22.937302,0,0
-22.837302,0,0
-22.737302,0,0
-22.637302,0,0
-22.537302,0,0
-22.437302,0,0
-22.337302,0,0
-22.237302,0,0
-22.137302,0,0
-22.037302,4.0578905e-06,4.0578905e-06
-21.937302,0,0
-21.837302,1.2173672e-05,8.9961645e-06
-21.737302,1.6231562e-05,7.8524961e-06
-21.637302,2.0289453e-05,1.3275026e-05
-21.537302,4.4636796e-05,2.0289453e-05
-21.437302,4.8694686e-05,1.5882455e-05
-21.337302,0.00012579461,3.6902744e-05
-21.237302,0.00024347343,4.7647366e-05
-21.137302,0.0003002839,6.1637661e-05
-21.037302,0.00044231007,6.2660821e-05
-20.937302,0.0008967938,0.0001128645
-20.837302,0.0012457724,0.00013234188
-20.737302,0.001964019,0.0001687664
-20.637302,0.002566943,0.00018335767
-20.537302,0.0036845646,0.00022963441
-20.437302,0.0055877152,0.00018514304
-20.337302,0.007819555,0.00025319042
-20.237302,0.010538342,0.00037986369
-20.137302,0.014226964,0.00042300074
-20.037302,0.019944532,0.00043398121
-19.937302,0.025020953,0.00049733336
-19.837302,0.032783697,0.00064025948
-19.737302,0.042112788,0.00076436167
-19.637302,0.05312996,0.00070341503
-19.537302,0.066167963,0.00088517126
-19.437302,0.078674381,0.00094981569
-19.337302,0.09983628,0.00099920559
-19.237302,0.11635517,0.0012910366
-19.137302,0.13649978,0.0013124849
-19.037302,0.16342342,0.0014811499
-18.937302,0.18586467,0.0013999194
-18.837302,0.20897325,0.0013611752
-18.737302,0.23694834,0.0016361345
-18.637302,0.26439572,0.001920207
-18.537302,0.28480494,0.0020546047
-18.437302,0.31121991,0.0017348572
