x_over_lstar,density_mean_2pi_rho_lstar2,density_stderr
-5.2706161,0,0
-5.1706161,0,0
-5.0706161,0,0
-4.9706161,2.2376016e-05,2.2376016e-05
-4.8706161,0,0
-4.7706161,0,0
-4.6706161,0,0
-4.5706161,2.2376016e-05,2.2376016e-05
-4.4706161,4.4752032e-05,3.0800461e-05
-4.3706161,0,0
-4.2706161,0.00017900813,5.9865335e-05
-4.1706161,0.00015663211,6.7128048e-05
-4.0706161,0.00022376016,6.8871924e-05
-3.9706161,0.00029088821,8.1328512e-05
-3.8706161,0.0005594004,0.00012521733
-3.7706161,0.00093979267,0.00021995929
-3.6706161,0.001454441,0.00032608268
-3.5706161,0.0017229532,0.0003662752
-3.4706161,0.0027074979,0.00065375948
-3.3706161,0.0032445223,0.00070600721
-3.2706161,0.0046094593,0.00099174508
-3.1706161,0.0066680528,0.001372801
-3.0706161,0.0086371422,0.0017541246
-2.9706161,0.012239681,0.0024540224
-2.8706161,0.015976475,0.0032264779
-2.7706161,0.019869902,0.0039853781
-2.6706161,0.027500124,0.0055446985
-2.5706161,0.036383402,0.0074129073
-2.4706161,0.046161721,0.0092102176
-2.3706161,0.059341195,0.01188481
-2.2706161,0.075742814,0.015090929
-2.1706161,0.09503094,0.018778244
-2.0706161,0.11546024,0.023233181
-1.9706161,0.14687617,0.029548715
-1.8706161,0.16882704,0.033330863
-1.7706161,0.20648588,0.040685356
-1.6706161,0.24656132,0.04967214
-1.5706161,0.28773319,0.057563521
-1.4706161,0.3348347,0.067132983
-1.3706161,0.37678973,0.075394404
-1.2706161,0.43839091,0.08729912
-1.1706161,0.49578539,0.098947022
-1.0706161,0.55465669,0.11044525
-0.9706161,0.61782418,0.12311584
-0.8706161,0.67112385,0.13450222
-0.7706161,0.74066851,0.14738624
-0.6706161,0.78926921,0.15773045
-0.5706161,0.83576658,0.16661459
-0.4706161,0.88568747,0.17631884
-0.3706161,0.91965426,0.18350096
-0.2706161,0.95315116,0.19140986
-0.1706161,0.97700399,0.19454923
-0.070616097,0.97537054,0.19472427
0.029383903,0.98691656,0.1975456
0.1293839,0.97686973,0.19605061
0.2293839,0.95599291,0.19085953
0.3293839,0.93511609,0.18692252
0.4293839,0.90276037,0.17953751
0.5293839,0.85333175,0.16988187
0.6293839,0.79736933,0.15908772
0.7293839,0.75015594,0.14943696
0.8293839,0.69050148,0.13744368
0.9293839,0.63409154,0.12695438
1.0293839,0.57195335,0.11470437
1.1293839,0.51330581,0.10322524
1.2293839,0.4570525,0.091457951
1.3293839,0.39815883,0.079173196
1.4293839,0.3500504,0.069759834
1.5293839,0.30520886,0.060451313
1.6293839,0.25862199,0.051587885
1.7293839,0.21281829,0.042522816
1.8293839,0.17985842,0.036223532
1.9293839,0.15323096,0.030488678
2.0293839,0.12201642,0.0242173
2.1293839,0.097402798,0.019403918
2.2293839,0.078987337,0.015792776
2.3293839,0.063391253,0.012845112
2.4293839,0.04976426,0.0099390881
2.5293839,0.037323195,0.0075717643
2.6293839,0.030453758,0.0060587703
2.7293839,0.023181553,0.0046056274
2.8293839,0.01684914,0.0034719883
2.9293839,0.012105425,0.0024394179
3.0293839,0.010158711,0.001993218
3.1293839,0.0074512133,0.0014389215
3.2293839,0.0046989634,0.00095127506
3.3293839,0.0038710508,0.00082280414
3.4293839,0.0025732418,0.00061675739
3.5293839,0.0017453293,0.00046017808
3.6293839,0.001432065,0.00035801626
3.7293839,0.00071603251,0.00018192852
3.8293839,0.00046989634,0.00012352226
3.9293839,0.0005594004,0.00017141286
4.0293839,0.00022376016,0.00010006859
4.1293839,0.00017900813,9.4096962e-05
4.2293839,0.00011188008,5.5049691e-05
4.3293839,0,0
4.4293839,2.2376016e-05,2.2376016e-05
4.5293839,0,0
4.6293839,0,0
4.7293839,0,0
4.8293839,2.2376016e-05,2.2376016e-05
4.9293839,2.2376016e-05,2.2376016e-05
5.0293839,2.2376016e-05,2.2376016e-05
5.1293839,4.4752032e-05,4.4752032e-05
5.2293839,8.9504064e-05,5.2350717e-05
5.3293839,6.7128048e-05,3.6659881e-05
5.4293839,8.9504064e-05,4.1067281e-05
5.5293839,0.00033564024,0.00010706576
5.6293839,0.00033564024,0.00011188008
5.7293839,0.00096216869,0.00029627382
5.8293839,0.0010069207,0.00027905172
5.9293839,0.0012754329,0.00030676153
6.0293839,0.0019019614,0.00045554496
6.1293839,0.0022599776,0.00051791504
6.2293839,0.0037591707,0.00071676819
6.3293839,0.0050569796,0.0010510837
6.4293839,0.0076302215,0.001512911
6.5293839,0.0092860467,0.0019289263
6.6293839,0.013582242,0.0027018079
