x_over_lstar,density_mean_2pi_rho_lstar2,density_stderr
-5.407673,0,0
-5.307673,0,0
-5.207673,0,0
-5.107673,0,0
-5.007673,0,0
-4.907673,4.4752032e-05,3.0800461e-05
-4.807673,2.2376016e-05,2.2376016e-05
-4.707673,2.2376016e-05,2.2376016e-05
-4.607673,0,0
-4.507673,4.4752032e-05,3.0800461e-05
-4.407673,4.4752032e-05,3.0800461e-05
-4.307673,4.4752032e-05,3.0800461e-05
-4.207673,0.00015663211,7.456709e-05
-4.107673,0.00024613618,8.8764959e-05
-4.007673,0.00029088821,9.8876462e-05
-3.907673,0.0005594004,0.00012935786
-3.807673,0.00087266463,0.00026069436
-3.707673,0.00078316056,0.00018040121
-3.607673,0.0017900813,0.00038688343
-3.507673,0.0021257215,0.00047480575
-3.407673,0.002774626,0.00066425613
-3.307673,0.0044752032,0.00094432425
-3.207673,0.0064219166,0.0013667891
-3.107673,0.0086818942,0.0018309515
-3.007673,0.01134464,0.0023820959
-2.907673,0.01432065,0.0030158948
-2.807673,0.020518807,0.004321743
-2.707673,0.026336571,0.0055260177
-2.607673,0.034011544,0.0068943055
-2.507673,0.046072217,0.009750046
-2.407673,0.057707745,0.011895452
-2.307673,0.070752963,0.014639165
-2.207673,0.08885516,0.018488559
-2.107673,0.11266324,0.023459603
-2.007673,0.13821665,0.028276196
-1.907673,0.16804388,0.034309718
-1.807673,0.19834101,0.04047061
-1.707673,0.23794655,0.049016956
-1.607673,0.28012534,0.057571322
-1.507673,0.32483263,0.066751162
-1.407673,0.37347808,0.076419775
-1.307673,0.43076069,0.088540825
-1.207673,0.48520153,0.099421682
-1.107673,0.54029128,0.1105987
-1.007673,0.60639003,0.12435718
-0.907673,0.6646348,0.13627916
-0.807673,0.71565212,0.14602416
-0.707673,0.77779032,0.15972331
-0.607673,0.82838249,0.17052211
-0.507673,0.86619796,0.17796396
-0.407673,0.92048217,0.18863781
-0.307673,0.95037653,0.19481837
-0.207673,0.96357838,0.19798541
-0.107673,0.9823071,0.20249203
-0.0076729963,0.9899597,0.20360788
0.092327004,0.97754101,0.20153359
0.192327,0.96194493,0.19766168
0.292327,0.94384273,0.19438255
0.392327,0.89700973,0.18466524
0.492327,0.85957466,0.17704064
0.592327,0.80873635,0.16612473
0.692327,0.75621984,0.1547607
0.792327,0.69853447,0.1429664
0.892327,0.6458837,0.13279138
0.992327,0.57998634,0.11922077
1.092327,0.52098078,0.10642208
1.192327,0.46615954,0.095832853
1.292327,0.4058338,0.083672086
1.392327,0.36466193,0.074315032
1.492327,0.30959456,0.063821239
1.592327,0.2608596,0.053843604
1.692327,0.22523698,0.046230035
1.792327,0.18628033,0.038486719
1.892327,0.15276106,0.031405334
1.992327,0.12467916,0.025789578
2.092327,0.098834863,0.020428451
2.192327,0.084111444,0.017260491
2.292327,0.065315591,0.013459855
2.392327,0.050815932,0.010357307
2.492327,0.040209701,0.0082796209
2.592327,0.031102662,0.006337423
2.692327,0.023718577,0.0050078514
2.792327,0.017319036,0.0035352913
2.892327,0.012552945,0.0025923416
2.992327,0.0098454471,0.0021425454
3.092327,0.0070931971,0.0014304724
3.192327,0.0053926199,0.0012023472
3.292327,0.0037591707,0.00081322031
3.392327,0.002797002,0.00061418844
3.492327,0.0016558252,0.00038565544
3.592327,0.001432065,0.00033677675
3.692327,0.00096216869,0.00022557819
3.792327,0.00062652845,0.00013926593
3.892327,0.0005594004,0.00016831011
3.992327,0.00024613618,8.8764959e-05
4.092327,0.00031326422,0.00010318027
4.192327,0.00011188008,4.4456636e-05
4.292327,0.00011188008,4.4456636e-05
4.392327,4.4752032e-05,3.0800461e-05
4.492327,8.9504064e-05,4.1067281e-05
4.592327,6.7128048e-05,3.6659881e-05
4.692327,4.4752032e-05,3.0800461e-05
4.792327,6.7128048e-05,3.6659881e-05
4.892327,8.9504064e-05,5.2350717e-05
4.992327,2.2376016e-05,2.2376016e-05
5.092327,0.00020138414,7.5967533e-05
5.192327,0.00038039227,8.1328512e-05
5.292327,0.0004251443,0.00013572022
5.392327,0.00089504064,0.00024295731
5.492327,0.001409689,0.00029088821
5.592327,0.001364937,0.00036512225
5.692327,0.0023047297,0.00051771148
5.792327,0.0031326422,0.00066694832
5.892327,0.0043409471,0.00093653437
5.992327,0.0063547886,0.0013166371
6.092327,0.0081001178,0.0017289459
6.192327,0.010494352,0.0022056884
6.292327,0.014499658,0.0029987904
6.392327,0.019109118,0.0038657135
6.492327,0.024031841,0.0050455024
6.592327,0.033228384,0.006950408
6.692327,0.041261374,0.0085940461
6.792327,0.049562876,0.010157558
6.892327,0.060280987,0.012403029
6.992327,0.076257463,0.015688239
7.092327,0.089973961,0.018489898
7.192327,0.1057938,0.021571965
7.292327,0.12147939,0.024866367
7.392327,0.13790339,0.028401805
7.492327,0.15779567,0.032486861
7.592327,0.17439867,0.035727548
7.692327,0.18862982,0.038707567
7.792327,0.20122751,0.041243113
7.892327,0.21409372,0.043990269
7.992327,0.22239522,0.04546089
8.092327,0.22463283,0.045975579
8.192327,0.22411818,0.046555673
8.292327,0.22022475,0.045211874
8.392327,0.20648588,0.042431122
8.492327,0.19341828,0.039723343
8.592327,0.17415253,0.035735678
8.692327,0.14745795,0.030290556
8.792327,0.12960188,0.026558706
8.892327,0.10597281,0.021830037
8.992327,0.085789646,0.017573909
9.092327,0.063928278,0.013119746
9.192327,0.046340729,0.0095719298
9.292327,0.031885823,0.0065298813
9.392327,0.019690894,0.0040800762
9.492327,0.011859289,0.002431633
9.592327,0.0063547886,0.0013349235
9.692327,0.0029088821,0.00067986199
9.792327,0.0012530569,0.00030559963
9.892327,0.0005594004,0.00016831011
9.992327,0.00022376016,8.2773751e-05
10.092327,0.00031326422,0.00010318027
10.192327,0.00035801626,0.00011057704
10.292327,0.0010069207,0.0002635095
10.392327,0.0027074979,0.00061555988
10.492327,0.0062205325,0.0013674156
10.592327,0.012351561,0.0025637054
10.692327,0.019467134,0.0041263806
10.792327,0.033944416,0.00697942
10.892327,0.051621469,0.010726802
10.992327,0.069902674,0.014439457
11.092327,0.094717676,0.019717515
11.192327,0.12378412,0.025470477
11.292327,0.14967317,0.030848976
11.392327,0.18314769,0.037450398
11.492327,0.21539153,0.044626434
11.592327,0.23805843,0.049058628
11.692327,0.27101831,0.055331803
11.792327,0.28686053,0.058972181
11.892327,0.30355303,0.062180691
11.992327,0.31192166,0.064532654
12.092327,0.31078049,0.063556498
12.192327,0.30151682,0.062303401
12.292327,0.294625,0.060812477
12.392327,0.27688082,0.057209539
12.492327,0.26569281,0.054622852
12.592327,0.24244413,0.050002765
12.692327,0.22114217,0.04564875
12.792327,0.19612578,0.039983879
12.892327,0.17339175,0.035585493
12.992327,0.15193315,0.031194893
13.092327,0.12684963,0.026341137
13.192327,0.10644271,0.022117511
13.292327,0.08710983,0.018017912
13.392327,0.069522282,0.014390928
13.492327,0.059430699,0.012238058
13.592327,0.0451548,0.0092499379
13.692327,0.037949723,0.007746355
13.792327,0.028842685,0.0060684182
13.892327,0.020205542,0.004259218
13.992327,0.015439451,0.0033453926
14.092327,0.011993545,0.0025189513
14.192327,0.0091965426,0.0019115251
14.292327,0.0061310284,0.0012807215
14.392327,0.0047437154,0.00097367137
14.492327,0.0035801626,0.00080448907
14.592327,0.0024837378,0.00055523948
14.692327,0.0018572093,0.00045136076
14.792327,0.0013201849,0.00031389449
14.892327,0.00085028861,0.00020507957
14.992327,0.00058177642,0.00013812594
15.092327,0.00044752032,0.0001655475
15.192327,0.00029088821,0.00010407032
15.292327,0.00020138414,7.5967533e-05
15.392327,6.7128048e-05,3.6659881e-05
15.492327,0.0001342561,7.3319762e-05
15.592327,4.4752032e-05,3.0800461e-05
15.692327,2.2376016e-05,2.2376016e-05
15.792327,4.4752032e-05,3.0800461e-05
15.892327,2.2376016e-05,2.2376016e-05
15.992327,2.2376016e-05,2.2376016e-05
16.092327,0,0
16.192327,0,0
