0,0,0,-0.5
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
1,-1,0,0
1,0,0,-0.5
1,1,0,0
1,2,0,0
1,3,0,0
0,0,0.4,-0.46423835
0,1,0.4,-0.032016438
0,2,0.4,-0.0033120453
0,3,0.4,-0.00038069486
0,4,0.4,-4.5945931e-05
1,-1,0.4,-0.032016438
1,0,0.4,-0.40682956
1,1,0.4,-0.051926779
1,2,0.4,-0.0078357504
1,3,0.4,-0.0011837301
0,0,0.8,-0.3904344
0,1,0.8,-0.076182323
0,2,0.8,-0.022297265
0,3,0.8,-0.0072511432
0,4,0.8,-0.0024760001
1,-1,0.8,-0.076182323
1,0,0.8,-0.28266429
1,1,0.8,-0.084929014
1,2,0.8,-0.033288937
1,3,0.8,-0.01354467
0,0,1.2,-0.3200922
0,1,1.2,-0.094453436
0,2,1.2,-0.041807259
0,3,1.2,-0.020560947
0,4,1.2,-0.010617538
1,-1,1.2,-0.094453436
1,0,1.2,-0.21479984
1,1,1.2,-0.083360678
1,2,1.2,-0.044526247
1,3,1.2,-0.025500879
0,0,1.6,-0.26499947
0,1,1.6,-0.095280708
0,2,1.6,-0.051387348
0,3,1.6,-0.030793917
0,4,1.6,-0.019375948
1,-1,1.6,-0.095280708
1,0,1.6,-0.17721275
1,1,1.6,-0.077393773
1,2,1.6,-0.046902335
1,3,1.6,-0.030867782
0,0,2,-0.2236068
0,1,2,-0.089442719
0,2,2,-0.053665631
0,3,2,-0.035777088
0,4,2,-0.025043961
1,-1,2,-0.089442719
1,0,2,-0.15205262
1,1,2,-0.071554175
1,2,2,-0.046510214
1,3,2,-0.032914921
